GWAS_ID,QTL_ID,Locus,Phenotype,PP4,n_snps,identification_method
EUR_INS,interaction,rs574753165,ENST00000441222.8|USP46|chr4:52590960-52597741|-,0.00498862259491517,1691,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000441222.8|USP46|chr4:52590960-52597741|-,0.00277964876564622,1691,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000451218.6|USP46|chr4:52594178-52597741|-,0.00259114181464935,1691,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000248706.5|RASL11B|chr4:52865335-52866835|+,0.00226643038603879,1730,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000650700.1|LINC01618|chr4:52865335-52866821|+,0.00224239882550603,1730,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000652441.1|LINC01618|chr4:52865335-52866808|+,0.00222239535996775,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000441222.8|USP46|chr4:52590960-52597741|-,0.00214483274862992,1691,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000388940.8|SCFD2|chr4:52873788-52874061|-,0.00203269794482973,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000401642.8|SCFD2|chr4:52872982-52874061|-,0.00199962041062641,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000248706.5|RASL11B|chr4:52865335-52866835|+,0.00194543111790523,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000650700.1|LINC01618|chr4:52865335-52866821|+,0.00194014032417882,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000652441.1|LINC01618|chr4:52865335-52866808|+,0.00193203788760294,1730,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000451218.6|USP46|chr4:52594178-52597741|-,0.00190387261272908,1691,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000451218.6|USP46|chr4:52594178-52597741|-,0.00186002873382089,1691,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000388940.8|SCFD2|chr4:52873788-52874061|-,0.00178052192794641,1730,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000388940.8|SCFD2|chr4:52873788-52874061|-,0.00174296469999222,1730,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000248706.5|RASL11B|chr4:52865335-52866835|+,0.00173590011215326,1730,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000650700.1|LINC01618|chr4:52865335-52866821|+,0.00172393969447129,1730,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000652441.1|LINC01618|chr4:52865335-52866808|+,0.00170891327405212,1730,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000401642.8|SCFD2|chr4:52872982-52874061|-,0.00168600877803694,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000263921.8|CHIC2|chr4:54009789-54010145|-,0.00165060710603368,1209,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000263921.8|CHIC2|chr4:54009789-54010145|-,0.00164736204098868,1209,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000401642.8|SCFD2|chr4:52872982-52874061|-,0.0015851035493489,1730,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000512964.5|CHIC2|chr4:54009825-54010145|-,0.00157703220208917,1209,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000263921.8|CHIC2|chr4:54009789-54010145|-,0.00153330710956429,1209,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000508170.5|PDGFRA|chr4:54263667-54265353|+,0.00145823431461372,779,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000381431.10|SGCB|chr4:52020706-52024160|-,0.00137570906096177,533,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000512964.5|CHIC2|chr4:54009825-54010145|-,0.00125813969000026,1209,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000512964.5|CHIC2|chr4:54009825-54010145|-,0.00120150561775136,1209,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000508170.5|PDGFRA|chr4:54263667-54265353|+,0.00116604641034269,779,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000508170.5|PDGFRA|chr4:54263667-54265353|+,0.00113303775368258,779,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000257290.10|PDGFRA|chr4:54295125-54298245|+,0.0011314767764592,779,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000257290.10|PDGFRA|chr4:54295125-54298245|+,0.00109226670087054,779,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000257290.10|PDGFRA|chr4:54295125-54298245|+,0.0010316750851611,779,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000381431.10|SGCB|chr4:52020706-52024160|-,0.000602660976834586,533,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000381431.10|SGCB|chr4:52020706-52024160|-,0.000559831911824979,533,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000381441.7|DCUN1D4|chr4:51913529-51916837|+,0.000408100976728096,412,Distance_pruning
EUR_INS,prenatal,rs574753165,ENST00000451288.6|DCUN1D4|chr4:51913529-51916835|+,0.000408100976728096,412,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000451288.6|DCUN1D4|chr4:51913529-51916835|+,0.000337608369423511,412,Distance_pruning
EUR_INS,interaction,rs574753165,ENST00000381441.7|DCUN1D4|chr4:51913529-51916837|+,0.000336052997972834,412,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000381441.7|DCUN1D4|chr4:51913529-51916837|+,0.000319052382926684,412,Distance_pruning
EUR_INS,postnatal,rs574753165,ENST00000451288.6|DCUN1D4|chr4:51913529-51916835|+,0.000318076236800975,412,Distance_pruning
