GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
ADHD,stage3_apa,rs11928374,XM_047448956.1|ZNF385D|chr3:21416335-21421447|-,0.181697355090544,1254
ADHD,stage4_apa,rs11928374,NM_024697.3|ZNF385D|chr3:21412218-21421447|-,0.118071279780763,1020
ADHD,stage4_apa,rs11928374,XM_047448956.1|ZNF385D|chr3:21416335-21421447|-,0.101041283696915,1010
ADHD,stage3_apa,rs11928374,NM_024697.3|ZNF385D|chr3:21412218-21421447|-,0.0933286145821189,1264
ADHD,stage2_apa,rs11928374,NM_024697.3|ZNF385D|chr3:21412218-21421447|-,0.0902926131636764,1264
ADHD,stage1_apa,rs11928374,NM_024697.3|ZNF385D|chr3:21412218-21421447|-,0.0848578907818411,1264
ADHD,stage2_apa,rs11928374,XM_047448956.1|ZNF385D|chr3:21416335-21421447|-,0.0803475017688132,1254
ADHD,stage1_apa,rs11928374,XM_005265528.5|KAT2B|chr3:20152332-20154404|+,0.0761789429907964,1828
ADHD,stage2_apa,rs11928374,NM_001292048.2|RAB5A|chr3:19983708-19985175|+,0.0759340218632643,1752
ADHD,stage1_apa,rs11928374,XM_047448956.1|ZNF385D|chr3:21416335-21421447|-,0.073819490185928,1254
ADHD,stage1_apa,rs11928374,NM_001292048.2|RAB5A|chr3:19983708-19985175|+,0.0724890528594845,1752
ADHD,stage3_apa,rs11928374,NM_001292048.2|RAB5A|chr3:19983708-19985175|+,0.0704631027470527,1752
ADHD,stage2_apa,rs11928374,XM_005265528.5|KAT2B|chr3:20152332-20154404|+,0.0689215205369824,1828
ADHD,stage3_apa,rs11928374,XM_005265528.5|KAT2B|chr3:20152332-20154404|+,0.0587953232060433,1828
ADHD,stage4_apa,rs11928374,XM_005265528.5|KAT2B|chr3:20152332-20154404|+,0.0564862744030387,1530
ADHD,stage4_apa,rs11928374,NM_001292048.2|RAB5A|chr3:19983708-19985175|+,0.0495399608811478,1459
