nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2	source_file
104	rs2579498	rs2579498	0	0	0	0	1	1	1	EUR_BIP_stage2_apa_XM_047445341.1_ANKRD36B_chr2_97507622-97509733_-_susie.csv
184	rs2579498	rs2579498	0	0	0	0	1	1	1	EUR_BIP_stage3_apa_XM_047444239.1_ANKRD36_chr2_97247476-97249587_susie.csv
104	rs2579498	rs2579498	0	0	0	0	1	1	3	EUR_BIP_stage3_apa_XM_047445341.1_ANKRD36B_chr2_97507622-97509733_-_susie.csv
940	rs13248631	rs13248631	0	0	0	0	1	1	1	EUR_SCZ_stage3_apa_NM_001164234.2_DDHD2_chr8_38238089-38239092_susie.csv
940	rs2932005	rs2932005	0	0	0	0	1	2	2	EUR_SCZ_stage3_apa_NM_001164234.2_DDHD2_chr8_38238089-38239092_susie.csv
322	rs2480487	rs2480487	0	0	0	0	1	3	1	EUR_SCZ_stage3_apa_NM_005453.5_ZBTB22_chr6_33314418-33316985_-_susie.csv
322	rs2772387	rs2772387	0	0	0	0	1	2	2	EUR_SCZ_stage3_apa_NM_005453.5_ZBTB22_chr6_33314418-33316985_-_susie.csv
1211	rs12260436	rs12260436	0	0	0	0	1	9	1	EUR_SCZ_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
1211	rs3740387	rs3740387	0	0	0	0	1	3	3	EUR_SCZ_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
1176	rs284863	rs284863	0	0	0	2.52330225842706e-10	0.999999999745341	9	3	MDD_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
1220	rs2160593	rs2160593	0	3.58254683063693e-29	0	4.02447807977928e-10	0.999999999592546	2	4	MDD_stage3_apa_XM_047428770.1_MMAB_chr12_109553715-109557136_-_susie.csv
1211	rs8139	rs8139	0	0	0	1.03657117502227e-06	0.999998963427598	6	6	EUR_SCZ_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
1211	rs284861	rs284861	0	0	0	0.000114719540061274	0.999885280459834	8	10	EUR_SCZ_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
883	rs7188071	rs11646653	0	0	0	0.00398406374499264	0.996015936251525	2	2	Intelligence_stage1_apa_NM_001286109.2_CLN3_chr16_28466653-28466902_-_susie.csv
1176	rs284851	rs284861	0	0	0	0.00611899800309346	0.99388100199632	6	2	MDD_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
184	rs11676886	rs11676886	0	0	0	0.00793650793656451	0.992063492064721	2	2	EUR_BIP_stage3_apa_XM_047444239.1_ANKRD36_chr2_97247476-97249587_susie.csv
104	rs11676886	rs11676886	0	0	0	0.0079365079480559	0.992063492053893	2	4	EUR_BIP_stage3_apa_XM_047445341.1_ANKRD36B_chr2_97507622-97509733_-_susie.csv
883	rs7188071	rs11646653	0	0	0	0.0360242733168519	0.963975726680349	2	6	Intelligence_stage3_apa_NM_001286109.2_CLN3_chr16_28466653-28466902_-_susie.csv
1176	rs284851	rs284861	0	0	0	0.0378978164177246	0.962102183584673	2	2	MDD_stage4_apa_NM_144591.5_BORCS7_chr10_102863730-102864919_susie.csv
883	rs7188071	rs11646653	0	0	0	0.0382922110145444	0.961707788988649	2	2	Intelligence_stage3_apa_NM_001286109.2_CLN3_chr16_28466653-28466902_-_susie.csv
