GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
EUR_SCZ,stage2_apa,rs650520,NM_025138.5|PROSER1|chr13:39009865-39011487|-,0.107907577876016,1019
EUR_SCZ,stage3_apa,rs650520,XM_047430283.1|ALG5|chr13:36949738-36950057|-,0.0921033732177189,253
EUR_SCZ,stage3_apa,rs650520,NM_001142364.1|ALG5|chr13:36949770-36950057|-,0.0917761255167204,253
EUR_SCZ,stage2_apa,rs650520,NM_001142364.1|ALG5|chr13:36949770-36950057|-,0.090473834952685,253
EUR_SCZ,stage2_apa,rs650520,NR_073109.1|NHLRC3|chr13:39047674-39050109|+,0.0817914793169022,953
EUR_SCZ,stage2_apa,rs650520,XM_047430283.1|ALG5|chr13:36949738-36950057|-,0.0747530920565271,253
EUR_SCZ,stage1_apa,rs650520,NR_073109.1|NHLRC3|chr13:39047674-39050109|+,0.0733664031672339,953
EUR_SCZ,stage1_apa,rs650520,XM_047430465.1|SUPT20H|chr13:37022723-37023044|-,0.0715110400674099,390
EUR_SCZ,stage2_apa,rs650520,NM_001286703.2|UFM1|chr13:38360711-38363619|+,0.0709513059780001,1379
EUR_SCZ,stage3_apa,rs650520,NM_001286703.2|UFM1|chr13:38360711-38363619|+,0.0702566086054602,1379
EUR_SCZ,stage4_apa,rs650520,NR_073109.1|NHLRC3|chr13:39047674-39050109|+,0.0695218142626034,864
EUR_SCZ,stage4_apa,rs650520,NM_001142364.1|ALG5|chr13:36949770-36950057|-,0.0680601908720501,226
EUR_SCZ,stage1_apa,rs650520,NM_025138.5|PROSER1|chr13:39009865-39011487|-,0.0669207305069889,1019
EUR_SCZ,stage1_apa,rs650520,NM_001286703.2|UFM1|chr13:38360711-38363619|+,0.0656695797192154,1379
EUR_SCZ,stage3_apa,rs650520,NR_073109.1|NHLRC3|chr13:39047674-39050109|+,0.0624393564318857,953
EUR_SCZ,stage2_apa,rs650520,XM_047430465.1|SUPT20H|chr13:37022723-37023044|-,0.0605886107027861,390
EUR_SCZ,stage1_apa,rs650520,XM_047430283.1|ALG5|chr13:36949738-36950057|-,0.0601421222829376,253
EUR_SCZ,stage3_apa,rs650520,NM_025138.5|PROSER1|chr13:39009865-39011487|-,0.0583249021251063,1019
EUR_SCZ,stage1_apa,rs650520,NM_001142364.1|ALG5|chr13:36949770-36950057|-,0.0582665301563021,253
EUR_SCZ,stage4_apa,rs650520,NM_025138.5|PROSER1|chr13:39009865-39011487|-,0.0540865876790408,921
EUR_SCZ,stage3_apa,rs650520,XM_047430465.1|SUPT20H|chr13:37022723-37023044|-,0.053451168652096,390
EUR_SCZ,stage4_apa,rs650520,NM_001286703.2|UFM1|chr13:38360711-38363619|+,0.0528939203234399,1232
EUR_SCZ,stage4_apa,rs650520,XM_047430283.1|ALG5|chr13:36949738-36950057|-,0.0469788168378627,226
EUR_SCZ,stage4_apa,rs650520,XM_047430465.1|SUPT20H|chr13:37022723-37023044|-,0.0424249102056093,339
EUR_SCZ,stage2_apa,rs650520,NM_005780.3|LHFPL6|chr13:39342892-39344054|-,0.0175416363778871,480
EUR_SCZ,stage1_apa,rs650520,NM_005780.3|LHFPL6|chr13:39342892-39344054|-,0.0172700392721245,480
EUR_SCZ,stage3_apa,rs650520,NM_005780.3|LHFPL6|chr13:39342892-39344054|-,0.0147829378012882,480
EUR_SCZ,stage4_apa,rs650520,NM_005780.3|LHFPL6|chr13:39342892-39344054|-,0.0132282470436705,421
EUR_SCZ,stage3_apa,rs650520,XM_047430360.1|SMAD9|chr13:36844831-36848819|-,0.000872408202306927,105
EUR_SCZ,stage1_apa,rs650520,XM_047430360.1|SMAD9|chr13:36844831-36848819|-,0.000741670166692905,105
EUR_SCZ,stage2_apa,rs650520,XM_047430360.1|SMAD9|chr13:36844831-36848819|-,0.00072499133458674,105
EUR_SCZ,stage2_apa,rs650520,NM_000538.4|RFXAP|chr13:36827643-36829104|+,0.000661403389407497,59
EUR_SCZ,stage4_apa,rs650520,XM_047430360.1|SMAD9|chr13:36844831-36848819|-,0.000551994081696646,105
EUR_SCZ,stage2_apa,rs650520,NR_026745.1|COG6|chr13:39750946-39752628|+,0.000472739082288973,54
EUR_SCZ,stage3_apa,rs650520,NR_026745.1|COG6|chr13:39750946-39752628|+,0.000466479340031319,54
EUR_SCZ,stage4_apa,rs650520,NM_000538.4|RFXAP|chr13:36827643-36829104|+,0.000461388260896524,59
EUR_SCZ,stage1_apa,rs650520,NR_026745.1|COG6|chr13:39750946-39752628|+,0.000443480629609821,54
EUR_SCZ,stage1_apa,rs650520,NM_000538.4|RFXAP|chr13:36827643-36829104|+,0.000397742610934547,59
EUR_SCZ,stage3_apa,rs650520,NM_000538.4|RFXAP|chr13:36827643-36829104|+,0.000383274807675348,59
EUR_SCZ,stage4_apa,rs650520,NR_026745.1|COG6|chr13:39750946-39752628|+,0.000251238982540046,38
