GWAS_ID,QTL_ID,Locus,Phenotype,PP4,n_snps,identification_method
EUR_PTSD,postnatal,rs12026766,ENST00000373019.5|SF3A3|chr1:37956975-37958263|-,0.574865079871038,1024,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000373027.5|INPP5B|chr1:37861580-37862430|-,0.487578292566833,1024,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000296215.8|SNIP1|chr1:37534449-37538012|-,0.209031955740471,1024,Distance_pruning
EUR_PTSD,prenatal,rs12026766,ENST00000319637.6|EPHA10|chr1:37760272-37762083|-,0.159578428696872,1030,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000296218.8|DNALI1|chr1:37565026-37566816|+,0.13722692934823,1024,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000652629.1|DNALI1|chr1:37565026-37566816|+,0.13722692934823,1024,Distance_pruning
EUR_PTSD,interaction,rs12026766,ENST00000373026.5|INPP5B|chr1:37862068-37862430|-,0.133807942606784,1013,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000468084.1|C1orf122|chr1:37808978-37809449|+,0.121823629472788,1024,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000373043.1|C1orf122|chr1:37808978-37809452|+,0.116304596599155,1024,Distance_pruning
EUR_PTSD,prenatal,rs12026766,ENST00000373048.9|EPHA10|chr1:37715976-37718486|-,0.115289204792024,1030,Distance_pruning
EUR_PTSD,interaction,rs12026766,ENST00000319637.6|EPHA10|chr1:37760272-37762083|-,0.114365046542515,1013,Distance_pruning
EUR_PTSD,interaction,rs12026766,ENST00000373021.1|INPP5B|chr1:37928537-37932053|-,0.107349054337913,1013,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000373042.5|C1orf122|chr1:37808978-37809454|+,0.103979454882796,1024,Distance_pruning
EUR_PTSD,prenatal,rs12026766,ENST00000373075.6|MEAF6|chr1:37492575-37494107|-,0.103917732563483,1030,Distance_pruning
EUR_PTSD,prenatal,rs12026766,ENST00000373001.4|RRAGC|chr1:38838198-38839704|-,0.0921246924229824,416,Distance_pruning
EUR_PTSD,postnatal,rs12026766,ENST00000373021.1|INPP5B|chr1:37928537-37932053|-,0.0909779944033375,1024,Distance_pruning
