GWAS_ID,QTL_ID,Locus,Phenotype,PP4,n_snps,identification_method
EAS_BIP,interaction,rs174576,ENST00000531323.1|UQCC3|chr11:62671953-62673577|+,0.666170167422299,922,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000531323.1|UQCC3|chr11:62671953-62673577|+,0.641672126984511,927,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000377953.4|UQCC3|chr11:62671953-62673686|+,0.573327449513945,927,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000301761.7|SDHAF2|chr11:61445941-61446733|+,0.545382335870913,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000377953.4|UQCC3|chr11:62671953-62673686|+,0.525634213729446,922,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000542074.1|SDHAF2|chr11:61445941-61446697|+,0.512580227673052,950,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000539008.6|SYT7|chr11:61513714-61518731|-,0.365338786692795,955,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000334888.9|TMEM216|chr11:61398261-61398863|+,0.362489645376488,954,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000439958.8|CPSF7|chr11:61402729-61404704|-,0.312545867061653,950,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000294117.6|GNG3|chr11:62708678-62709201|+,0.303904828974567,898,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000307366.8|TMEM223|chr11:62790400-62790915|-,0.273423681952504,796,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000307366.8|TMEM223|chr11:62790400-62790915|-,0.265190188252111,793,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000394888.8|CPSF7|chr11:61402649-61404704|-,0.261276936902082,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000340437.8|CPSF7|chr11:61402641-61404704|-,0.255643566324646,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000535817.1|RP11-727F15.9|chr11:62833563-62834043|+,0.249070318372759,763,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000535817.1|RP11-727F15.9|chr11:62833563-62834043|+,0.239937316161159,767,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000515837.7|TMEM216|chr11:61398270-61398846|+,0.22853744436861,954,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000394888.8|CPSF7|chr11:61402649-61404704|-,0.198747653593277,955,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000340437.8|CPSF7|chr11:61402641-61404704|-,0.193025588811952,955,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000439958.8|CPSF7|chr11:61402729-61404704|-,0.189926547267448,955,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000263846.8|SYT7|chr11:61515313-61518731|-,0.18810749561535,954,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000227525.8|TMEM109|chr11:60921774-60923443|+,0.174964130275611,262,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000515837.7|TMEM216|chr11:61398270-61398846|+,0.170454074069737,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000525631.1|TMEM223|chr11:62787509-62787925|-,0.169716614732593,793,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000301788.12|POLR2G|chr11:62766494-62766710|+,0.164647351157934,805,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000278845.8|EML3|chr11:62602219-62602678|-,0.162698904375896,950,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000278826.11|TMEM138|chr11:61368597-61369509|+,0.159672288312574,954,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000394773.7|EML3|chr11:62602218-62602678|-,0.159239413532358,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000394900.8|TKFC|chr11:61346351-61348754|+,0.157789399039441,950,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000531557.5|EML3|chr11:62602220-62602678|-,0.157393177292236,950,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000398979.7|TMEM216|chr11:61398270-61398493|+,0.157161764461598,955,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000334888.9|TMEM216|chr11:61398261-61398863|+,0.156437010470595,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000536171.1|TMEM109|chr11:60921774-60923376|+,0.15310186813495,262,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000534553.5|BEST1|chr11:61962255-61963344|+,0.145661511896334,955,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000542074.1|SDHAF2|chr11:61445941-61446697|+,0.144865779610328,954,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000311713.11|WDR74|chr11:62832911-62833131|-,0.143281724632665,766,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000265460.9|MYRF|chr11:61786063-61788517|+,0.138963152714154,954,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000545580.1|CCDC86|chr11:60850206-60850546|+,0.13868816578873,202,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000529106.5|WDR74|chr11:62832912-62833131|-,0.137787507846784,766,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000398979.7|TMEM216|chr11:61398270-61398493|+,0.125328770470385,950,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000394836.7|RAB3IL1|chr11:61897301-61898360|-,0.122039741995286,954,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000377897.8|STX5|chr11:62806897-62807666|-,0.120502334633287,784,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000278823.7|MTA2|chr11:62593214-62594040|-,0.115794346219546,951,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000294072.9|CYB561A3|chr11:61349242-61350422|-,0.115707158838254,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000426130.6|CYB561A3|chr11:61349242-61350422|-,0.115707158838254,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000294117.6|GNG3|chr11:62708678-62709201|+,0.114058226128032,894,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000536991.5|FADS1|chr11:61802007-61802462|-,0.110190749889459,954,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000623008.1|RP11-286N22.16|chr11:61525708-61526602|-,0.110147949123501,955,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000394900.8|TKFC|chr11:61346351-61348754|+,0.109115017300046,954,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000301761.7|SDHAF2|chr11:61445941-61446733|+,0.109106235339434,954,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000524902.5|MTA2|chr11:62593215-62594040|-,0.106683436449127,951,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000301788.12|POLR2G|chr11:62766494-62766710|+,0.106579336134592,809,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000278836.10|MYRF|chr11:61786063-61788518|+,0.105356179863356,954,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000453848.7|TMEM132A|chr11:60935864-60937084|+,0.104135442641405,288,Distance_pruning
EAS_BIP,postnatal,rs174576,ENST00000522056.5|FADS2|chr11:61865638-61865957|+,0.101645279080709,954,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000265471.10|B3GAT3|chr11:62615296-62615799|-,0.100696057929363,946,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000534571.5|ASRGL1|chr11:62356987-62357201|+,0.0981551256619802,955,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000536171.1|TMEM109|chr11:60921774-60923376|+,0.0977292724147477,264,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000540906.1|RP11-794G24.1|chr11:61539516-61541297|-,0.0974499836430345,950,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000545580.1|CCDC86|chr11:60850206-60850546|+,0.0973134212374964,201,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000301761.7|SDHAF2|chr11:61445941-61446733|+,0.0967730740658536,955,Distance_pruning
EAS_BIP,prenatal,rs174576,ENST00000227525.8|TMEM109|chr11:60921774-60923443|+,0.0965771332067481,264,Distance_pruning
EAS_BIP,interaction,rs174576,ENST00000278826.11|TMEM138|chr11:61368597-61369509|+,0.0964995365171899,950,Distance_pruning
