GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
ANX,stage1_apa,rs1709393,NM_001410785.1|CEP97|chr3:101764847-101770562|+,0.105539614650854,1172
ANX,stage4_apa,rs1709393,XM_011513038.4|SENP7|chr3:101324205-101326080|-,0.102837537915337,949
ANX,stage4_apa,rs1709393,NM_001410785.1|CEP97|chr3:101764847-101770562|+,0.102531912069399,955
ANX,stage1_apa,rs1709393,XM_011513038.4|SENP7|chr3:101324205-101326080|-,0.0972856674046371,1143
ANX,stage1_apa,rs1709393,XM_011512690.3|ZBTB11|chr3:101648889-101651683|-,0.0962829368514662,1172
ANX,stage2_apa,rs1709393,XM_011512690.3|ZBTB11|chr3:101648889-101651683|-,0.0928257762314344,1172
ANX,stage2_apa,rs1709393,NM_017819.4|TRMT10C|chr3:101564770-101566446|+,0.0834417062719569,1172
ANX,stage2_apa,rs1709393,NM_001320397.1|PCNP|chr3:101592627-101594465|+,0.0829171273884104,1172
ANX,stage2_apa,rs1709393,XM_011513038.4|SENP7|chr3:101324205-101326080|-,0.0791686066941483,1143
ANX,stage2_apa,rs1709393,NM_001410785.1|CEP97|chr3:101764847-101770562|+,0.0693681243464263,1172
ANX,stage2_apa,rs1709393,NM_001348997.2|NXPE3|chr3:101821404-101828231|+,0.067070253008464,1172
ANX,stage2_apa,rs1709393,NM_001282804.2|SENP7|chr3:101371854-101372126|-,0.0660068574473068,1156
ANX,stage3_apa,rs1709393,NM_017819.4|TRMT10C|chr3:101564770-101566446|+,0.0659301404751177,1172
ANX,stage1_apa,rs1709393,NM_017819.4|TRMT10C|chr3:101564770-101566446|+,0.0651305869616195,1172
ANX,stage1_apa,rs1709393,NM_001282804.2|SENP7|chr3:101371854-101372126|-,0.0639046324377594,1156
ANX,stage1_apa,rs1709393,NM_001320397.1|PCNP|chr3:101592627-101594465|+,0.0626414222546359,1172
ANX,stage1_apa,rs1709393,NM_001348997.2|NXPE3|chr3:101821404-101828231|+,0.0621871825761456,1172
ANX,stage3_apa,rs1709393,NM_001410785.1|CEP97|chr3:101764847-101770562|+,0.0619627085849462,1172
ANX,stage3_apa,rs1709393,XM_011513038.4|SENP7|chr3:101324205-101326080|-,0.0596810643068493,1143
ANX,stage4_apa,rs1709393,NM_017819.4|TRMT10C|chr3:101564770-101566446|+,0.0575709466487551,955
ANX,stage3_apa,rs1709393,NM_001320397.1|PCNP|chr3:101592627-101594465|+,0.0546559429880657,1172
ANX,stage3_apa,rs1709393,NM_001282804.2|SENP7|chr3:101371854-101372126|-,0.0542715145121259,1156
ANX,stage3_apa,rs1709393,NM_001348997.2|NXPE3|chr3:101821404-101828231|+,0.0523865490904697,1172
ANX,stage4_apa,rs1709393,NM_001320397.1|PCNP|chr3:101592627-101594465|+,0.0481633040983396,955
ANX,stage4_apa,rs1709393,XM_047449414.1|LOC124906262|chr3:101692803-101703773|+,0.046331583335671,955
ANX,stage4_apa,rs1709393,XM_047449415.1|LOC124906262|chr3:101692893-101703773|+,0.0462820120898912,955
ANX,stage4_apa,rs1709393,NM_001348997.2|NXPE3|chr3:101821404-101828231|+,0.045435523817439,955
ANX,stage4_apa,rs1709393,XM_011512690.3|ZBTB11|chr3:101648889-101651683|-,0.0453303132063651,955
ANX,stage4_apa,rs1709393,NM_001282804.2|SENP7|chr3:101371854-101372126|-,0.0449647081128564,949
ANX,stage3_apa,rs1709393,XM_011512690.3|ZBTB11|chr3:101648889-101651683|-,0.0365522460363763,1172
ANX,stage4_apa,rs1709393,NM_001195478.2|TFG|chr3:100748149-100748964|+,0.0180669151594289,406
ANX,stage4_apa,rs1709393,XM_005247066.3|TFG|chr3:100748149-100748967|+,0.0171208626254853,406
ANX,stage2_apa,rs1709393,XM_005247066.3|TFG|chr3:100748149-100748967|+,0.011995352144513,413
ANX,stage2_apa,rs1709393,NM_001195478.2|TFG|chr3:100748149-100748964|+,0.0119641272727295,413
ANX,stage3_apa,rs1709393,NM_001195478.2|TFG|chr3:100748149-100748964|+,0.0117830315613751,413
ANX,stage3_apa,rs1709393,XM_005247066.3|TFG|chr3:100748149-100748967|+,0.0117341669147247,413
ANX,stage1_apa,rs1709393,NM_001195478.2|TFG|chr3:100748149-100748964|+,0.011584911300148,413
ANX,stage1_apa,rs1709393,XM_005247066.3|TFG|chr3:100748149-100748967|+,0.0113142481938333,413
ANX,stage2_apa,rs1709393,XM_047449414.1|LOC124906262|chr3:101692803-101703773|+,0.00048545736408635,1172
ANX,stage2_apa,rs1709393,XM_047449415.1|LOC124906262|chr3:101692893-101703773|+,0.000151863067633638,1172
ANX,stage3_apa,rs1709393,XM_047449415.1|LOC124906262|chr3:101692893-101703773|+,0.000148792088680249,1172
ANX,stage1_apa,rs1709393,XM_047449414.1|LOC124906262|chr3:101692803-101703773|+,0.000107089726444183,1172
ANX,stage1_apa,rs1709393,XM_047449415.1|LOC124906262|chr3:101692893-101703773|+,9.80144319704093e-05,1172
ANX,stage3_apa,rs1709393,XM_047449414.1|LOC124906262|chr3:101692803-101703773|+,5.20631380740464e-05,1172
