GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
MDD,stage3_apa,rs4813017,NM_001363741.2|ZMYND8|chr20:47209214-47210897|-,0.329690034180337,714
MDD,stage1_apa,rs4813017,NM_001167594.3|CTSA|chr20:45898367-45898620|+,0.306331041818817,1188
MDD,stage4_apa,rs4813017,NM_001134771.2|SLC12A5|chr20:46057514-46060150|+,0.258918838932539,1059
MDD,stage1_apa,rs4813017,NM_080752.4|ZSWIM3|chr20:45876714-45879122|+,0.176231748226095,1188
MDD,stage4_apa,rs4813017,NM_001167594.3|CTSA|chr20:45898367-45898620|+,0.172697147981375,1059
MDD,stage3_apa,rs4813017,XM_005260611.5|ZSWIM1|chr20:45882533-45885266|+,0.170641467179092,1188
MDD,stage1_apa,rs4813017,XM_047440283.1|ZNF334|chr20:46499630-46503097|-,0.144964603789749,1188
MDD,stage4_apa,rs4813017,NM_022104.4|PCIF1|chr20:45947524-45948020|+,0.124011600963887,1059
MDD,stage2_apa,rs4813017,NM_001348149.2|NCOA5|chr20:46060991-46062889|-,0.111798393894311,1188
MDD,stage2_apa,rs4813017,NM_002999.4|SDC4|chr20:45325288-45327415|-,0.104605730833045,628
MDD,stage3_apa,rs4813017,NR_186399.1|TP53RK-DT|chr20:46689299-46690289|+,0.102795245000083,1188
MDD,stage3_apa,rs4813017,NM_001184730.3|PIGT|chr20:45425574-45426241|+,0.101360678752236,714
MDD,stage4_apa,rs4813017,XM_005260611.5|ZSWIM1|chr20:45882533-45885266|+,0.100864307615851,1059
MDD,stage3_apa,rs4813017,NM_001197129.2|SYS1|chr20:45366875-45369209|+,0.0984315400871355,674
MDD,stage2_apa,rs4813017,NM_001281460.2|SLC35H1|chr20:46345984-46350524|-,0.0950641375896562,1188
MDD,stage4_apa,rs4813017,XM_047440283.1|ZNF334|chr20:46499630-46503097|-,0.0949161781110368,1059
MDD,stage1_apa,rs4813017,NM_021248.3|CDH22|chr20:46173739-46175077|-,0.0938298279702841,1188
MDD,stage1_apa,rs4813017,XM_047440363.1|ZNF335|chr20:45948660-45949080|-,0.0936549509116169,1188
MDD,stage2_apa,rs4813017,NM_001363741.2|ZMYND8|chr20:47209214-47210897|-,0.0912037611189882,714
MDD,stage1_apa,rs4813017,XM_005260327.3|EYA2|chr20:47188053-47188844|+,0.0891370840996759,740
MDD,stage2_apa,rs4813017,NR_186399.1|TP53RK-DT|chr20:46689299-46690289|+,0.088806417002476,1188
MDD,stage1_apa,rs4813017,NM_033550.4|TP53RK|chr20:46684365-46687231|-,0.0878428443348615,1188
MDD,stage2_apa,rs4813017,NM_152897.3|SNX21|chr20:45842033-45843276|+,0.0872979737499839,1188
MDD,stage4_apa,rs4813017,XM_047440363.1|ZNF335|chr20:45948660-45949080|-,0.0869527304749973,1059
MDD,stage3_apa,rs4813017,NM_001134771.2|SLC12A5|chr20:46057514-46060150|+,0.0864952508978881,1188
MDD,stage1_apa,rs4813017,NM_022104.4|PCIF1|chr20:45947524-45948020|+,0.0863261514267219,1188
MDD,stage3_apa,rs4813017,XM_047439809.1|ACOT8|chr20:45843527-45843772|-,0.0854140765070236,1188
MDD,stage4_apa,rs4813017,XM_047439809.1|ACOT8|chr20:45843527-45843772|-,0.0850283980575422,1059
MDD,stage2_apa,rs4813017,NM_001134771.2|SLC12A5|chr20:46057514-46060150|+,0.0846775448891393,1188
MDD,stage2_apa,rs4813017,NM_002251.5|KCNS1|chr20:45091214-45095340|-,0.0831643884112777,336
MDD,stage2_apa,rs4813017,NM_001011554.3|SLC13A3|chr20:46557828-46560198|-,0.0829471864852059,1188
MDD,stage1_apa,rs4813017,NM_152897.3|SNX21|chr20:45842033-45843276|+,0.08290364686798,1188
MDD,stage2_apa,rs4813017,NM_001318253.2|ELMO2|chr20:46366050-46367560|-,0.078393713136446,1188
MDD,stage2_apa,rs4813017,NM_001197139.2|DBNDD2|chr20:45409932-45410575|+,0.0783646490145757,703
MDD,stage2_apa,rs4813017,NR_003189.2|SYS1-DBNDD2|chr20:45409932-45410575|+,0.0783646490145757,703
MDD,stage1_apa,rs4813017,NM_001197139.2|DBNDD2|chr20:45409932-45410575|+,0.0776423180861033,703
MDD,stage1_apa,rs4813017,NR_003189.2|SYS1-DBNDD2|chr20:45409932-45410575|+,0.0776423180861033,703
MDD,stage1_apa,rs4813017,NM_001184730.3|PIGT|chr20:45425574-45426241|+,0.0767098673993419,714
MDD,stage4_apa,rs4813017,NM_080752.4|ZSWIM3|chr20:45876714-45879122|+,0.075516315501851,1059
MDD,stage1_apa,rs4813017,NM_080749.4|NEURL2|chr20:45888634-45888873|-,0.0752611357952471,1188
MDD,stage3_apa,rs4813017,NM_052951.3|DNTTIP1|chr20:45811057-45811418|+,0.0740104697533759,1188
MDD,stage1_apa,rs4813017,NM_001197129.2|SYS1|chr20:45366875-45369209|+,0.0734697014958783,674
MDD,stage1_apa,rs4813017,NM_052951.3|DNTTIP1|chr20:45811057-45811418|+,0.0732636054619592,1188
MDD,stage4_apa,rs4813017,NM_033550.4|TP53RK|chr20:46684365-46687231|-,0.0732245697445182,1059
MDD,stage2_apa,rs4813017,NM_001184730.3|PIGT|chr20:45425574-45426241|+,0.0731360884852713,714
MDD,stage2_apa,rs4813017,NM_022104.4|PCIF1|chr20:45947524-45948020|+,0.0721913387435287,1188
MDD,stage2_apa,rs4813017,NM_006282.5|STK4|chr20:45075018-45080021|+,0.0721575615936735,329
MDD,stage1_apa,rs4813017,NM_006282.5|STK4|chr20:45075018-45080021|+,0.07190817311719,329
MDD,stage2_apa,rs4813017,NM_001242921.1|PLTP|chr20:45898820-45899063|-,0.0712029333813755,1188
MDD,stage2_apa,rs4813017,NM_006227.4|PLTP|chr20:45898820-45899063|-,0.0712029333813755,1188
MDD,stage2_apa,rs4813017,NM_080752.4|ZSWIM3|chr20:45876714-45879122|+,0.0707320700177815,1188
MDD,stage2_apa,rs4813017,NM_001197129.2|SYS1|chr20:45366875-45369209|+,0.0707271806409564,674
MDD,stage1_apa,rs4813017,NM_001348149.2|NCOA5|chr20:46060991-46062889|-,0.0705207486728,1188
MDD,stage2_apa,rs4813017,NM_021248.3|CDH22|chr20:46173739-46175077|-,0.0701608611634542,1188
MDD,stage2_apa,rs4813017,XM_005260327.3|EYA2|chr20:47188053-47188844|+,0.069681130572751,740
MDD,stage4_apa,rs4813017,NM_021248.3|CDH22|chr20:46173739-46175077|-,0.0689675176321227,1059
MDD,stage1_apa,rs4813017,NM_001318253.2|ELMO2|chr20:46366050-46367560|-,0.0688707341724117,1188
MDD,stage1_apa,rs4813017,NM_001042632.3|SNX21|chr20:45840639-45841721|+,0.0685236158895659,1188
MDD,stage1_apa,rs4813017,NM_002251.5|KCNS1|chr20:45091214-45095340|-,0.0684746689395067,336
MDD,stage1_apa,rs4813017,NM_002999.4|SDC4|chr20:45325288-45327415|-,0.0681943240853322,628
MDD,stage1_apa,rs4813017,NM_001242921.1|PLTP|chr20:45898820-45899063|-,0.0677177779078047,1188
MDD,stage1_apa,rs4813017,NM_006227.4|PLTP|chr20:45898820-45899063|-,0.0677177779078047,1188
MDD,stage2_apa,rs4813017,NM_052951.3|DNTTIP1|chr20:45811057-45811418|+,0.0676432614530178,1188
MDD,stage4_apa,rs4813017,NM_080749.4|NEURL2|chr20:45888634-45888873|-,0.0675811383879321,1059
MDD,stage2_apa,rs4813017,NM_001042632.3|SNX21|chr20:45840639-45841721|+,0.0668246371960587,1188
MDD,stage2_apa,rs4813017,XM_047440363.1|ZNF335|chr20:45948660-45949080|-,0.0663335573744746,1188
MDD,stage2_apa,rs4813017,NM_080749.4|NEURL2|chr20:45888634-45888873|-,0.0660331110361791,1188
MDD,stage2_apa,rs4813017,XM_047439809.1|ACOT8|chr20:45843527-45843772|-,0.0658623479335012,1188
MDD,stage2_apa,rs4813017,NM_033550.4|TP53RK|chr20:46684365-46687231|-,0.0656957321049566,1188
MDD,stage3_apa,rs4813017,NM_001011554.3|SLC13A3|chr20:46557828-46560198|-,0.0656456063615807,1188
MDD,stage1_apa,rs4813017,NR_186399.1|TP53RK-DT|chr20:46689299-46690289|+,0.0652078156976594,1188
MDD,stage2_apa,rs4813017,XM_047440283.1|ZNF334|chr20:46499630-46503097|-,0.0651980646118235,1188
MDD,stage2_apa,rs4813017,NM_001167594.3|CTSA|chr20:45898367-45898620|+,0.0651683929041235,1188
MDD,stage2_apa,rs4813017,XM_005260611.5|ZSWIM1|chr20:45882533-45885266|+,0.0650913668867388,1188
MDD,stage1_apa,rs4813017,NM_001011554.3|SLC13A3|chr20:46557828-46560198|-,0.0650871642971626,1188
MDD,stage1_apa,rs4813017,NM_001134771.2|SLC12A5|chr20:46057514-46060150|+,0.0638480806363455,1188
MDD,stage1_apa,rs4813017,XM_047439809.1|ACOT8|chr20:45843527-45843772|-,0.0633749324280268,1188
MDD,stage4_apa,rs4813017,NM_001184730.3|PIGT|chr20:45425574-45426241|+,0.0631282624737116,651
MDD,stage4_apa,rs4813017,NM_001348149.2|NCOA5|chr20:46060991-46062889|-,0.0628399567981419,1059
MDD,stage1_apa,rs4813017,XM_005260611.5|ZSWIM1|chr20:45882533-45885266|+,0.0626563023014632,1188
MDD,stage4_apa,rs4813017,NM_001197129.2|SYS1|chr20:45366875-45369209|+,0.0620945601948252,613
MDD,stage1_apa,rs4813017,NM_001281460.2|SLC35H1|chr20:46345984-46350524|-,0.0616274251174445,1188
MDD,stage4_apa,rs4813017,NM_006282.5|STK4|chr20:45075018-45080021|+,0.0612893963245653,286
MDD,stage3_apa,rs4813017,NM_022104.4|PCIF1|chr20:45947524-45948020|+,0.0611490878714153,1188
MDD,stage3_apa,rs4813017,NM_002999.4|SDC4|chr20:45325288-45327415|-,0.0608907836195628,628
MDD,stage3_apa,rs4813017,NM_002251.5|KCNS1|chr20:45091214-45095340|-,0.0607754916505552,336
MDD,stage4_apa,rs4813017,NM_001197139.2|DBNDD2|chr20:45409932-45410575|+,0.0602554878170508,641
MDD,stage4_apa,rs4813017,NR_003189.2|SYS1-DBNDD2|chr20:45409932-45410575|+,0.0602554878170508,641
MDD,stage1_apa,rs4813017,NM_001363741.2|ZMYND8|chr20:47209214-47210897|-,0.0591061384105264,714
MDD,stage3_apa,rs4813017,NM_001348149.2|NCOA5|chr20:46060991-46062889|-,0.0587915332126435,1188
MDD,stage3_apa,rs4813017,NM_033550.4|TP53RK|chr20:46684365-46687231|-,0.0585202155055874,1188
MDD,stage3_apa,rs4813017,NM_006282.5|STK4|chr20:45075018-45080021|+,0.0580200465313653,329
MDD,stage3_apa,rs4813017,NM_001042632.3|SNX21|chr20:45840639-45841721|+,0.0578889194524475,1188
MDD,stage3_apa,rs4813017,NM_001242921.1|PLTP|chr20:45898820-45899063|-,0.0577749286260622,1188
MDD,stage3_apa,rs4813017,NM_006227.4|PLTP|chr20:45898820-45899063|-,0.0577749286260622,1188
MDD,stage4_apa,rs4813017,NM_001042632.3|SNX21|chr20:45840639-45841721|+,0.0567901765355446,1059
MDD,stage3_apa,rs4813017,XM_047440283.1|ZNF334|chr20:46499630-46503097|-,0.0564449064114744,1188
MDD,stage3_apa,rs4813017,XM_047440363.1|ZNF335|chr20:45948660-45949080|-,0.0561627708162208,1188
MDD,stage3_apa,rs4813017,NM_021248.3|CDH22|chr20:46173739-46175077|-,0.0558980913045014,1188
MDD,stage3_apa,rs4813017,NM_001167594.3|CTSA|chr20:45898367-45898620|+,0.0550053646222436,1188
MDD,stage3_apa,rs4813017,NM_152897.3|SNX21|chr20:45842033-45843276|+,0.0548220690915722,1188
MDD,stage3_apa,rs4813017,NM_001281460.2|SLC35H1|chr20:46345984-46350524|-,0.0544889680464772,1188
MDD,stage3_apa,rs4813017,NM_001318253.2|ELMO2|chr20:46366050-46367560|-,0.0544831974775789,1188
MDD,stage3_apa,rs4813017,NM_080752.4|ZSWIM3|chr20:45876714-45879122|+,0.053714384104978,1188
MDD,stage3_apa,rs4813017,XM_005260327.3|EYA2|chr20:47188053-47188844|+,0.0527928233740778,740
MDD,stage3_apa,rs4813017,NM_080749.4|NEURL2|chr20:45888634-45888873|-,0.0523021921899735,1188
MDD,stage4_apa,rs4813017,NM_052951.3|DNTTIP1|chr20:45811057-45811418|+,0.0510506111990906,1059
MDD,stage4_apa,rs4813017,NM_002999.4|SDC4|chr20:45325288-45327415|-,0.0501277498361122,578
MDD,stage4_apa,rs4813017,NM_001363741.2|ZMYND8|chr20:47209214-47210897|-,0.0499812960146389,629
MDD,stage4_apa,rs4813017,NM_002251.5|KCNS1|chr20:45091214-45095340|-,0.0492438885125708,293
MDD,stage4_apa,rs4813017,NM_001318253.2|ELMO2|chr20:46366050-46367560|-,0.0471709151419898,1059
MDD,stage4_apa,rs4813017,NM_152897.3|SNX21|chr20:45842033-45843276|+,0.0468733895913794,1059
MDD,stage4_apa,rs4813017,NM_001242921.1|PLTP|chr20:45898820-45899063|-,0.0462884134261344,1059
MDD,stage4_apa,rs4813017,NM_006227.4|PLTP|chr20:45898820-45899063|-,0.0462884134261344,1059
MDD,stage4_apa,rs4813017,NR_186399.1|TP53RK-DT|chr20:46689299-46690289|+,0.0461026445952495,1059
MDD,stage4_apa,rs4813017,NM_001011554.3|SLC13A3|chr20:46557828-46560198|-,0.0452927348173449,1059
MDD,stage4_apa,rs4813017,NM_001281460.2|SLC35H1|chr20:46345984-46350524|-,0.0434272996192807,1059
MDD,stage4_apa,rs4813017,XM_005260327.3|EYA2|chr20:47188053-47188844|+,0.0416092161731034,655
MDD,stage3_apa,rs4813017,NR_147975.2|STK4|chr20:44972078-44972920|+,0.0212637625429286,228
MDD,stage2_apa,rs4813017,NR_147975.2|STK4|chr20:44972078-44972920|+,0.0200787443383539,228
MDD,stage1_apa,rs4813017,NR_147975.2|STK4|chr20:44972078-44972920|+,0.0195846691677274,228
MDD,stage2_apa,rs4813017,XM_011528501.2|TOMM34|chr20:44942130-44943213|-,0.0171440817008838,194
MDD,stage1_apa,rs4813017,XM_011528501.2|TOMM34|chr20:44942130-44943213|-,0.0170902078898299,194
MDD,stage3_apa,rs4813017,XM_011528501.2|TOMM34|chr20:44942130-44943213|-,0.0159553692919896,194
MDD,stage4_apa,rs4813017,NM_001281769.2|ZMYND8|chr20:47298124-47298947|-,0.00140604253060468,510
MDD,stage3_apa,rs4813017,NM_001281769.2|ZMYND8|chr20:47298124-47298947|-,0.000454686889766645,594
MDD,stage2_apa,rs4813017,NM_001281769.2|ZMYND8|chr20:47298124-47298947|-,0.000419947629457865,594
MDD,stage1_apa,rs4813017,NM_001281769.2|ZMYND8|chr20:47298124-47298947|-,0.000414469190103366,594
MDD,stage4_apa,rs4813017,XM_011528501.2|TOMM34|chr20:44942130-44943213|-,0.000323231915166772,167
MDD,stage2_apa,rs4813017,NM_006534.4|NCOA3|chr20:47653406-47656872|+,0.000287547469776187,162
MDD,stage2_apa,rs4813017,NM_139323.4|YWHAB|chr20:44906382-44908532|+,0.000282308369227018,161
MDD,stage1_apa,rs4813017,NM_139323.4|YWHAB|chr20:44906382-44908532|+,0.000237195003743046,161
MDD,stage4_apa,rs4813017,NR_147975.2|STK4|chr20:44972078-44972920|+,0.000232760272494277,192
MDD,stage3_apa,rs4813017,NM_139323.4|YWHAB|chr20:44906382-44908532|+,0.000218239005591246,161
MDD,stage3_apa,rs4813017,NM_006534.4|NCOA3|chr20:47653406-47656872|+,0.00021749719195792,162
MDD,stage4_apa,rs4813017,NM_139323.4|YWHAB|chr20:44906382-44908532|+,0.000186499529777413,139
MDD,stage1_apa,rs4813017,NM_001387055.1|SULF2|chr20:47657406-47658392|-,0.000177747270976632,161
MDD,stage2_apa,rs4813017,NM_001387055.1|SULF2|chr20:47657406-47658392|-,0.000177024784734217,161
MDD,stage4_apa,rs4813017,NM_006534.4|NCOA3|chr20:47653406-47656872|+,0.000145554635957878,138
MDD,stage1_apa,rs4813017,NM_006534.4|NCOA3|chr20:47653406-47656872|+,0.000145134545352595,162
MDD,stage3_apa,rs4813017,NM_001387055.1|SULF2|chr20:47657406-47658392|-,0.000123077646343447,161
MDD,stage4_apa,rs4813017,NM_001387055.1|SULF2|chr20:47657406-47658392|-,9.57233521492584e-05,138
