GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
INS,stage1_apa,rs79545773,NM_002398.3|MEIS1|chr2:66571246-66573869|+,0.0235864166973615,1612
INS,stage2_apa,rs79545773,NM_002398.3|MEIS1|chr2:66571246-66573869|+,0.02248279693402,1612
INS,stage3_apa,rs79545773,NM_002398.3|MEIS1|chr2:66571246-66573869|+,0.0197133161281503,1612
INS,stage4_apa,rs79545773,NM_002398.3|MEIS1|chr2:66571246-66573869|+,0.0151963248425847,1321
INS,stage4_apa,rs79545773,NM_001190265.2|C1D|chr2:68041130-68043053|-,0.00125072694247679,361
INS,stage3_apa,rs79545773,NM_001190265.2|C1D|chr2:68041130-68043053|-,0.00106020505872211,510
INS,stage2_apa,rs79545773,NM_001190265.2|C1D|chr2:68041130-68043053|-,0.000948927493067339,510
INS,stage1_apa,rs79545773,NM_001190265.2|C1D|chr2:68041130-68043053|-,0.00088244933971757,510
INS,stage2_apa,rs79545773,NM_001256476.2|DNAAF10|chr2:68134084-68134799|-,0.000397120943369146,286
INS,stage2_apa,rs79545773,NM_138458.4|DNAAF10|chr2:68129805-68131445|-,0.000354762446263821,289
INS,stage1_apa,rs79545773,NM_138458.4|DNAAF10|chr2:68129805-68131445|-,0.000344107724639376,289
INS,stage1_apa,rs79545773,NM_001256476.2|DNAAF10|chr2:68134084-68134799|-,0.000325679370363945,286
INS,stage3_apa,rs79545773,NM_138458.4|DNAAF10|chr2:68129805-68131445|-,0.0003172481323411,289
INS,stage3_apa,rs79545773,NM_001256476.2|DNAAF10|chr2:68134084-68134799|-,0.000305257930630899,286
INS,stage2_apa,rs79545773,NM_001329916.2|PNO1|chr2:68174735-68176238|+,0.000278956926727999,230
INS,stage1_apa,rs79545773,NM_001329916.2|PNO1|chr2:68174735-68176238|+,0.000272008251393382,230
INS,stage1_apa,rs79545773,NM_000945.4|PPP3R1|chr2:68178857-68181010|-,0.000255153560155612,221
INS,stage3_apa,rs79545773,NM_001329916.2|PNO1|chr2:68174735-68176238|+,0.000253290512475227,230
INS,stage2_apa,rs79545773,NM_000945.4|PPP3R1|chr2:68178857-68181010|-,0.000229226616567631,221
INS,stage3_apa,rs79545773,NM_000945.4|PPP3R1|chr2:68178857-68181010|-,0.000224748689945754,221
INS,stage4_apa,rs79545773,NM_138458.4|DNAAF10|chr2:68129805-68131445|-,0.000195540638491279,224
INS,stage4_apa,rs79545773,NM_001256476.2|DNAAF10|chr2:68134084-68134799|-,0.000157307565638233,221
INS,stage4_apa,rs79545773,NM_000945.4|PPP3R1|chr2:68178857-68181010|-,0.00013803553823185,158
INS,stage4_apa,rs79545773,NM_001329916.2|PNO1|chr2:68174735-68176238|+,0.000117493004204148,166
INS,stage3_apa,rs79545773,NM_181784.3|SPRED2|chr2:65310851-65314169|-,2.90615591955077e-05,17
INS,stage1_apa,rs79545773,NM_181784.3|SPRED2|chr2:65310851-65314169|-,1.80894071988388e-05,17
INS,stage2_apa,rs79545773,NM_181784.3|SPRED2|chr2:65310851-65314169|-,1.69481494277361e-05,17
INS,stage4_apa,rs79545773,NM_181784.3|SPRED2|chr2:65310851-65314169|-,1.43069471585003e-05,17
INS,stage1_apa,rs79545773,NM_015463.3|CNRIP1|chr2:68293010-68294026|-,8.4376040166063e-06,12
INS,stage2_apa,rs79545773,NM_015463.3|CNRIP1|chr2:68293010-68294026|-,7.19033010405279e-06,12
INS,stage4_apa,rs79545773,NM_015463.3|CNRIP1|chr2:68293010-68294026|-,6.13023768438101e-06,10
INS,stage3_apa,rs79545773,NM_015463.3|CNRIP1|chr2:68293010-68294026|-,6.10372098101734e-06,12
