GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
PTSD,stage1_apa,rs11762318,XM_047420212.1|PCLO|chr7:82820477-82821294|-,0.0946066887732215,1765
PTSD,stage2_apa,rs11762318,XM_006716120.4|CACNA2D1|chr7:81946444-81950508|-,0.0931127158860242,852
PTSD,stage3_apa,rs11762318,XM_006716120.4|CACNA2D1|chr7:81946444-81950508|-,0.0842355946883904,852
PTSD,stage2_apa,rs11762318,XM_047420210.1|PCLO|chr7:82754012-82758715|-,0.0840915728930665,1765
PTSD,stage2_apa,rs11762318,NM_014510.3|PCLO|chr7:82820477-82822689|-,0.079663182767137,1765
PTSD,stage2_apa,rs11762318,XM_047420212.1|PCLO|chr7:82820477-82821294|-,0.0757802803466348,1765
PTSD,stage4_apa,rs11762318,XM_047420212.1|PCLO|chr7:82820477-82821294|-,0.0755832225259645,1389
PTSD,stage1_apa,rs11762318,NM_006080.3|SEMA3A|chr7:83955777-83961826|-,0.0755544566993476,911
PTSD,stage1_apa,rs11762318,XM_006716120.4|CACNA2D1|chr7:81946444-81950508|-,0.0743873475933298,852
PTSD,stage2_apa,rs11762318,NM_006080.3|SEMA3A|chr7:83955777-83961826|-,0.0722319244969425,911
PTSD,stage1_apa,rs11762318,NM_014510.3|PCLO|chr7:82820477-82822689|-,0.0693614488982645,1765
PTSD,stage1_apa,rs11762318,XM_047420210.1|PCLO|chr7:82754012-82758715|-,0.0668332848664874,1765
PTSD,stage4_apa,rs11762318,NM_014510.3|PCLO|chr7:82820477-82822689|-,0.0647037150162213,1389
PTSD,stage3_apa,rs11762318,NM_014510.3|PCLO|chr7:82820477-82822689|-,0.0629878326730311,1765
PTSD,stage3_apa,rs11762318,XM_047420210.1|PCLO|chr7:82754012-82758715|-,0.0626689081432476,1765
PTSD,stage3_apa,rs11762318,XM_047420212.1|PCLO|chr7:82820477-82821294|-,0.0612384923035132,1765
PTSD,stage4_apa,rs11762318,XM_006716120.4|CACNA2D1|chr7:81946444-81950508|-,0.060562778032222,671
PTSD,stage3_apa,rs11762318,NM_006080.3|SEMA3A|chr7:83955777-83961826|-,0.0600826118508308,911
PTSD,stage4_apa,rs11762318,XM_047420210.1|PCLO|chr7:82754012-82758715|-,0.0588086206222373,1389
PTSD,stage4_apa,rs11762318,NM_006080.3|SEMA3A|chr7:83955777-83961826|-,0.0547923786454212,716
PTSD,stage4_apa,rs11762318,NM_001010934.3|HGF|chr7:81750900-81752262|-,0.00103972198072629,422
PTSD,stage1_apa,rs11762318,NM_001010934.3|HGF|chr7:81750900-81752262|-,0.00102031438207015,536
PTSD,stage2_apa,rs11762318,NM_001010934.3|HGF|chr7:81750900-81752262|-,0.000884803131702377,536
PTSD,stage3_apa,rs11762318,NM_001010934.3|HGF|chr7:81750900-81752262|-,0.000763635046966785,536
