GWAS_ID,QTL_ID,Locus,Phenotype,PP4,n_snps,identification_method
EUR_ADHD,interaction,rs6537401,ENST00000649704.1|MMAA|chr4:145655147-145655461|+,0.104088966567612,1190,Distance_pruning
EUR_ADHD,interaction,rs6537401,ENST00000541599.5|MMAA|chr4:145655147-145655434|+,0.102303273606883,1190,Distance_pruning
EUR_ADHD,interaction,rs6537401,ENST00000649173.1|MMAA|chr4:145655147-145655456|+,0.101380161792644,1190,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000447906.8|OTUD4|chr4:145133650-145138650|-,0.0894376864347524,616,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000454497.6|OTUD4|chr4:145133649-145138650|-,0.0887405997983237,616,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000541599.5|MMAA|chr4:145655147-145655434|+,0.0868966684632741,1190,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000649704.1|MMAA|chr4:145655147-145655461|+,0.0861652575312206,1190,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000649173.1|MMAA|chr4:145655147-145655456|+,0.0851140653031238,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000649156.2|MMAA|chr4:145655147-145660033|+,0.0829018524224162,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000296577.9|ABCE1|chr4:145127526-145129524|+,0.0826188633372325,597,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000509620.6|OTUD4|chr4:145159137-145159635|-,0.0806542973111588,616,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000513320.5|ZNF827|chr4:145760729-145761598|-,0.0790026460537482,1215,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000649156.2|MMAA|chr4:145655147-145660033|+,0.0788739562521106,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000649704.1|MMAA|chr4:145655147-145655461|+,0.0780135233646209,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000447906.8|OTUD4|chr4:145133650-145138650|-,0.0779440521094236,616,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000454497.6|OTUD4|chr4:145133649-145138650|-,0.0779440521094236,616,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000648388.1|MMAA|chr4:145655147-145658424|+,0.0777758737769042,1190,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000379448.9|ZNF827|chr4:145760738-145761598|-,0.0776517501542781,1215,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000541599.5|MMAA|chr4:145655147-145655434|+,0.0768832733551881,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000649173.1|MMAA|chr4:145655147-145655456|+,0.0767466809914738,1190,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000513542.1|SMAD1-AS1|chr4:145514615-145514990|-,0.0755882400237964,1108,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000302085.9|SMAD1|chr4:145557791-145559176|+,0.0754759692478513,1150,Distance_pruning
EUR_ADHD,interaction,rs6537401,ENST00000454497.6|OTUD4|chr4:145133649-145138650|-,0.0750421084036999,616,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000515385.1|SMAD1|chr4:145557791-145558079|+,0.0749984808070842,1150,Distance_pruning
EUR_ADHD,interaction,rs6537401,ENST00000447906.8|OTUD4|chr4:145133650-145138650|-,0.0749343117339321,616,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000503462.3|ZNF827|chr4:145757665-145761598|-,0.0746238877890794,1215,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000508784.6|ZNF827|chr4:145757627-145761598|-,0.0745146499798893,1215,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000513542.1|SMAD1-AS1|chr4:145514615-145514990|-,0.0743344070029614,1108,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000679563.1|MMAA|chr4:145655147-145656713|+,0.0742079423075078,1190,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000513320.5|ZNF827|chr4:145760729-145761598|-,0.0739940899304679,1215,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000509620.6|OTUD4|chr4:145159137-145159635|-,0.0737646617537244,616,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000656985.1|ZNF827|chr4:145760763-145761598|-,0.0734845542043315,1215,Distance_pruning
EUR_ADHD,postnatal,rs6537401,ENST00000652097.1|ZNF827|chr4:145760775-145761598|-,0.0733500736310672,1215,Distance_pruning
EUR_ADHD,prenatal,rs6537401,ENST00000652097.1|ZNF827|chr4:145760775-145761598|-,0.0732366199578763,1215,Distance_pruning
EUR_ADHD,interaction,rs6537401,ENST00000513542.1|SMAD1-AS1|chr4:145514615-145514990|-,0.0730577249633209,1108,Distance_pruning
