GWAS_ID,QTL_ID,Locus,Phenotype,PP4,n_snps,identification_method
EUR_ANX,prenatal,rs1709393,ENST00000348610.3|SENP7|chr3:101325867-101326080|-,0.252542470087516,1060,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000616286.1|NXPE3|chr3:101821404-101822825|+,0.242973837690551,1083,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000477909.5|NXPE3|chr3:101821404-101822823|+,0.242065620277245,1083,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000341893.8|CEP97|chr3:101764847-101770562|+,0.149972370518505,1087,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000341893.8|CEP97|chr3:101764847-101770562|+,0.111991200191517,1083,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000394095.7|SENP7|chr3:101324205-101326080|-,0.110987060180333,1060,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000394091.5|SENP7|chr3:101324273-101326080|-,0.105181884906853,1060,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000348610.3|SENP7|chr3:101325867-101326080|-,0.103480521364408,1056,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000477909.5|NXPE3|chr3:101821404-101822823|+,0.0987718844023671,1087,Distance_pruning
EUR_ANX,postnatal,rs1709393,ENST00000341893.8|CEP97|chr3:101764847-101770562|+,0.0967316653789406,1087,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000394091.5|SENP7|chr3:101324273-101326080|-,0.094737427965159,1056,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000616286.1|NXPE3|chr3:101821404-101822825|+,0.0942834773133129,1087,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000394095.7|SENP7|chr3:101324205-101326080|-,0.0890683430295173,1056,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000312938.5|ZBTB11|chr3:101648889-101651683|-,0.0804941277769044,1087,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000273347.10|NXPE3|chr3:101821404-101823793|+,0.0744584437025592,1087,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000491511.6|NXPE3|chr3:101821404-101823793|+,0.0744584437025592,1087,Distance_pruning
EUR_ANX,postnatal,rs1709393,ENST00000312938.5|ZBTB11|chr3:101648889-101651683|-,0.0729933724455367,1087,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000273347.10|NXPE3|chr3:101821404-101823793|+,0.07276921046594,1083,Distance_pruning
EUR_ANX,interaction,rs1709393,ENST00000491511.6|NXPE3|chr3:101821404-101823793|+,0.07276921046594,1083,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000667844.1|RP11-454H13.8|chr3:101699953-101700926|+,0.066567457844157,1087,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000394085.7|SENP7|chr3:101325540-101326080|-,0.0663362231769736,1060,Distance_pruning
EUR_ANX,prenatal,rs1709393,ENST00000469605.1|RPL24|chr3:101682042-101682492|-,0.0657395233264065,1087,Distance_pruning
