GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
Intelligence,stage3_apa,rs6656457,NM_001243246.2|P3H1|chr1:42746374-42747412|-,0.323418299341569,595
Intelligence,stage4_apa,rs6656457,NM_001243246.2|P3H1|chr1:42746374-42747412|-,0.266051129664698,459
Intelligence,stage4_apa,rs6656457,NM_052877.5|MED8|chr1:43383917-43384552|-,0.242500496799348,1049
Intelligence,stage4_apa,rs6656457,NM_024097.4|C1orf50|chr1:42775209-42775813|+,0.218432926161767,511
Intelligence,stage4_apa,rs6656457,NM_004559.5|YBX1|chr1:42701981-42703805|+,0.209958396256525,414
Intelligence,stage4_apa,rs6656457,XM_047430146.1|ERI3|chr1:44221070-44221640|-,0.184264303065285,1049
Intelligence,stage4_apa,rs6656457,NM_001001653.3|MED8|chr1:43383917-43385106|-,0.181582506518573,1049
Intelligence,stage4_apa,rs6656457,NM_001166588.3|EIF2B3|chr1:44874527-44874826|-,0.180684964661476,407
Intelligence,stage4_apa,rs6656457,NM_001039457.3|ATP6V0B|chr1:43977981-43978295|+,0.126205892285963,1049
Intelligence,stage1_apa,rs6656457,NM_024097.4|C1orf50|chr1:42775209-42775813|+,0.120402647973151,647
Intelligence,stage3_apa,rs6656457,NM_004073.4|PLK3|chr1:44805487-44805893|+,0.119398145084192,677
Intelligence,stage1_apa,rs6656457,NM_015284.4|SZT2|chr1:43450337-43450607|+,0.112971376650108,1385
Intelligence,stage2_apa,rs6656457,NM_006824.3|EBNA1BP2|chr1:43164184-43164493|-,0.110608780925452,1287
Intelligence,stage2_apa,rs6656457,XM_047441489.1|EBNA1BP2|chr1:43164174-43164493|-,0.105845625440707,1287
Intelligence,stage4_apa,rs6656457,XM_017001226.2|SVBP|chr1:42807052-42807500|-,0.104192440918706,563
Intelligence,stage3_apa,rs6656457,NM_024097.4|C1orf50|chr1:42775209-42775813|+,0.104116820687727,647
Intelligence,stage3_apa,rs6656457,XM_047428280.1|ST3GAL3|chr1:43899509-43899727|+,0.101373483849228,1385
Intelligence,stage2_apa,rs6656457,NM_001256399.2|ELOVL1|chr1:43363401-43364137|-,0.100582282524551,1385
Intelligence,stage4_apa,rs6656457,XM_024451069.2|IPO13|chr1:43967586-43968022|+,0.0993456123472577,1049
Intelligence,stage4_apa,rs6656457,NM_006516.4|SLC2A1|chr1:42925353-42927241|-,0.0976828341307959,697
Intelligence,stage2_apa,rs6656457,NM_004559.5|YBX1|chr1:42701981-42703805|+,0.0955964893576926,549
Intelligence,stage1_apa,rs6656457,XM_017001226.2|SVBP|chr1:42807052-42807500|-,0.095334857266917,711
Intelligence,stage1_apa,rs6656457,XM_017002717.2|B4GALT2|chr1:43990298-43991171|+,0.0946476132016002,1385
Intelligence,stage2_apa,rs6656457,NM_003738.5|PTCH2|chr1:44821994-44822669|-,0.0943981364652537,648
Intelligence,stage1_apa,rs6656457,XM_047441489.1|EBNA1BP2|chr1:43164174-43164493|-,0.0942895444752795,1287
Intelligence,stage3_apa,rs6656457,XR_007066033.1|LOC124904162|chr1:42657764-42659626|-,0.0939555574880807,513
Intelligence,stage1_apa,rs6656457,NM_003780.5|B4GALT2|chr1:43990298-43991168|+,0.0935692540767579,1385
Intelligence,stage4_apa,rs6656457,NM_001319168.2|DPH2|chr1:43972415-43973365|+,0.0920211257363587,1049
Intelligence,stage1_apa,rs6656457,NM_006824.3|EBNA1BP2|chr1:43164184-43164493|-,0.0918754116524914,1287
Intelligence,stage3_apa,rs6656457,NM_004559.5|YBX1|chr1:42701981-42703805|+,0.0917292378772725,549
Intelligence,stage2_apa,rs6656457,NM_001039457.3|ATP6V0B|chr1:43977981-43978295|+,0.0909060513882407,1385
